Busta Rhymes	0
MF DOOM	1
DMX	2
Lil Wayne	3
Snoop Dogg	4
Eminem	5
Kanye West	6
JAY-Z	7
50 Cent	8
Ludacris	9
Big Sean	10
2Pac	11
Travis Scott	12
Method Man	13
Kendrick Lamar	14
J. Cole	15
Nas	16
The Notorious B.I.G.	17
Rakim	18
Ice Cube	19
